"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Oct 30 14:44:36 CST 2020","Fri Oct 30 14:44:36 CST 2020","0","","test_player_resource","","","","test_xx",""
"failed","Fri Oct 30 14:44:36 CST 2020","Fri Oct 30 14:44:36 CST 2020","600","","test_player_resource","","","","test_yy",""
